gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role,win_score_difference
847.0,1,0,-1.0,0.0,-0.33,-3.3,-2.17,1.67,10.33,-3.0,-1.0,4.319999999999943
4357.0,1,2,1.0,-1.0,0.0,0.7,3.0,2.0,0.0,0.0,-1.0,-33.379999999999995
4054.0,1,2,1.0,-1.0,-1.0,5.0,-3.0,9.0,9.8,-1.0,1.0,-1.8999999999999702
7030.0,1,2,1.0,-2.0,1.0,1.0,4.67,4.0,2.1,0.0,0.0,10.380000000000003
4806.0,1,2,1.0,-1.0,3.0,6.0,0.1699999999999999,4.0,6.75,-2.0,-1.0,14.90999999999994
975.0,1,2,-1.0,1.0,1.0,0.5,2.5,0.33,3.33,0.0,0.0,30.560000000000002
5534.0,0,2,0.0,0.0,1.0,5.29,9.0,3.75,3.0,2.0,0.0,18.449999999999953
2508.0,1,2,-1.0,1.0,8.83,8.0,4.5,-0.08,-4.0,1.0,-1.0,3.7099999999999724
-810.0,1,0,1.0,0.0,-1.0,-2.5,-4.0,-2.0,-3.5,0.0,-1.0,-10.099999999999994
4394.0,1,1,0.0,-1.0,2.5,4.5,2.0,1.67,7.25,0.0,0.0,-4.85000000000003
726.0,1,0,2.0,1.0,-4.0,4.5,3.0,1.0,1.0,1.0,1.0,-9.389999999999993
4767.0,0,2,-2.0,0.0,-3.25,7.25,2.67,4.5,6.5,0.0,0.0,5.969999999999992
-2132.0,1,0,-1.0,0.0,2.0,4.67,0.0,-7.5,-3.0,-1.0,1.0,-18.240000000000023
396.0,0,2,1.0,0.0,-0.83,2.17,-2.5,6.75,8.67,0.0,1.0,-7.399999999999999
-653.0,1,0,2.0,-1.0,-1.5,-5.0,1.0,-1.0,-7.0,-1.0,0.0,2.269999999999989
-4908.0,0,-1,1.0,1.0,-2.0,-4.0,2.0,-1.5,-4.0,0.0,0.0,14.090000000000018
3151.0,0,2,0.0,0.0,0.0,4.67,4.0,2.9,-0.8399999999999999,-3.0,-2.0,44.60999999999999
8489.0,1,2,-1.0,-1.0,1.0,5.0,4.33,9.75,7.5,-1.0,-2.0,1.6799999999999642
2454.0,1,0,-2.0,-1.0,2.0,11.0,0.75,1.5,1.33,1.0,0.0,19.850000000000016
6530.0,1,2,-1.0,-2.0,-1.5,2.0,3.25,1.0,1.0,-2.0,2.0,-0.37999999999997414
4201.0,1,0,-1.0,-2.0,1.0,8.67,0.0,8.75,7.5,-3.0,0.0,-11.120000000000019
4120.0,1,0,1.0,-2.0,3.0,0.3299999999999999,0.0,-1.0,0.5,-2.0,0.0,-12.190000000000005
5847.0,1,0,-1.0,-1.0,4.5,5.0,3.0,0.5,1.5,-1.0,1.0,4.249999999999993
3857.0,1,0,0.0,0.0,2.0,5.0,2.0,5.0,9.4,2.0,0.0,-9.45000000000001
-4785.0,0,0,2.0,1.0,4.5,-0.5,-2.0,-4.0,-2.0,2.0,2.0,3.8300000000000125
-2150.0,0,-1,1.0,1.0,0.0,-1.0,-3.0,-3.0,-3.0,0.0,-1.0,4.139999999999972
-2214.0,0,-2,2.0,1.0,-1.0,0.0,3.0,-1.5,1.0,0.0,0.0,1.4099999999999966
1992.0,1,2,-1.0,-1.0,6.0,4.0,-6.0,3.67,1.17,-1.0,-2.0,8.890000000000022
-63.0,0,0,-1.0,0.0,1.0,5.0,1.0,8.25,3.25,2.0,0.0,7.050000000000047
4973.0,0,0,0.0,-1.0,5.75,4.0,1.83,1.83,3.0,2.0,0.0,-18.639999999999986
4079.0,1,2,-1.0,-1.0,2.1,-2.0,5.75,0.0,2.0,0.0,-1.0,-14.769999999999989
6950.0,1,2,2.0,-1.0,1.33,5.0,-2.5,2.0,6.75,-1.0,0.0,-19.36
-14538.0,0,-2,1.0,3.0,-5.56,-8.67,-12.0,-3.75,-14.25,1.0,-1.0,-68.63999999999999
-8033.0,0,-1,1.0,2.0,-5.4,-5.8,-4.9,-2.0,-3.5,1.0,0.0,-72.0
